number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.45404984423676015,2025-06-18 01:26:40.221904,2025-06-18 02:22:38.884318,0 days 00:55:58.662414,6.003319756608584e-05,COMPLETE
1,0.4602803738317757,2025-06-18 02:22:38.884925,2025-06-18 03:25:44.068208,0 days 01:03:05.183283,3.2212379085282956e-05,COMPLETE
2,0.47897196261682246,2025-06-18 03:25:44.068948,2025-06-18 04:23:53.386523,0 days 00:58:09.317575,5.379937288859144e-05,COMPLETE
3,0.4750778816199377,2025-06-18 04:23:53.387207,2025-06-18 05:39:57.915785,0 days 01:16:04.528578,2.2910253297498876e-06,COMPLETE
4,0.4735202492211838,2025-06-18 05:39:57.916740,2025-06-18 06:45:30.633035,0 days 01:05:32.716295,6.320646651184018e-06,COMPLETE
5,0.4696261682242991,2025-06-18 06:45:30.633776,2025-06-18 07:50:57.216499,0 days 01:05:26.582723,9.642291613224664e-06,COMPLETE
6,0.4672897196261682,2025-06-18 07:50:57.217255,2025-06-18 08:49:07.303630,0 days 00:58:10.086375,5.144160035255929e-05,COMPLETE
7,0.47585669781931467,2025-06-18 08:49:07.304292,2025-06-18 10:35:45.974176,0 days 01:46:38.669884,2.173085902660649e-06,COMPLETE
8,0.4649532710280374,2025-06-18 10:35:45.974830,2025-06-18 11:58:12.732992,0 days 01:22:26.758162,2.745779637733673e-06,COMPLETE
9,0.48364485981308414,2025-06-18 11:58:12.733740,2025-06-18 13:29:57.927139,0 days 01:31:45.193399,1.611612863423404e-06,COMPLETE
