number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.26557632398753894,2025-06-17 23:51:37.475761,2025-06-18 00:52:42.977438,0 days 01:01:05.501677,6.88668953008661e-06,COMPLETE
1,0.26947040498442365,2025-06-18 00:52:42.978210,2025-06-18 02:03:33.517492,0 days 01:10:50.539282,1.1657394226673198e-05,COMPLETE
2,0.27102803738317754,2025-06-18 02:03:33.518169,2025-06-18 03:48:57.426459,0 days 01:45:23.908290,9.210601076532553e-06,COMPLETE
3,0.20482866043613707,2025-06-18 03:48:57.427276,2025-06-18 04:49:59.034035,0 days 01:01:01.606759,8.304056984038909e-05,COMPLETE
4,0.20482866043613707,2025-06-18 04:49:59.034680,2025-06-18 05:50:57.547539,0 days 01:00:58.512859,8.755372122666373e-05,COMPLETE
5,0.26791277258566976,2025-06-18 05:50:57.548274,2025-06-18 06:49:39.450000,0 days 00:58:41.901726,1.3713810163582572e-05,COMPLETE
6,0.2819314641744548,2025-06-18 06:49:39.450934,2025-06-18 07:50:47.331487,0 days 01:01:07.880553,3.7730151951049655e-06,COMPLETE
7,0.278816199376947,2025-06-18 07:50:47.332304,2025-06-18 08:59:16.147327,0 days 01:08:28.815023,3.2827437143191124e-06,COMPLETE
8,0.2827102803738318,2025-06-18 08:59:16.148053,2025-06-18 10:22:23.363322,0 days 01:23:07.215269,3.6839204634774244e-06,COMPLETE
9,0.27102803738317754,2025-06-18 10:22:23.364118,2025-06-18 11:55:16.145291,0 days 01:32:52.781173,9.589683701215024e-05,COMPLETE
