number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.42133956386292837,2025-06-19 00:52:42.796575,2025-06-19 01:59:06.715477,0 days 01:06:23.918902,4.1928938189650516e-05,COMPLETE
1,0.39330218068535827,2025-06-19 01:59:06.716173,2025-06-19 04:08:51.578275,0 days 02:09:44.862102,6.429015628423312e-05,COMPLETE
2,0.4221183800623053,2025-06-19 04:08:51.579148,2025-06-19 05:15:05.109649,0 days 01:06:13.530501,4.242030557647623e-05,COMPLETE
3,0.4057632398753894,2025-06-19 05:15:05.110318,2025-06-19 06:28:41.589810,0 days 01:13:36.479492,3.876368625490015e-06,COMPLETE
4,0.4166666666666667,2025-06-19 06:28:41.590663,2025-06-19 07:27:39.731639,0 days 00:58:58.140976,2.7162952959609863e-05,COMPLETE
5,0.40186915887850466,2025-06-19 07:27:39.732400,2025-06-19 09:10:39.156271,0 days 01:42:59.423871,1.415752538150276e-06,COMPLETE
6,0.3637071651090343,2025-06-19 09:10:39.156720,2025-06-19 10:53:24.720925,0 days 01:42:45.564205,5.485801074402556e-05,COMPLETE
7,0.4135514018691589,2025-06-19 10:53:24.721530,2025-06-19 12:04:32.102286,0 days 01:11:07.380756,1.339453386456293e-05,COMPLETE
8,0.39330218068535827,2025-06-19 12:04:32.102743,2025-06-19 13:47:24.756295,0 days 01:42:52.653552,1.1825970914433572e-06,COMPLETE
9,0.20482866043613707,2025-06-19 13:47:24.756970,2025-06-19 14:48:47.617232,0 days 01:01:22.860262,6.898943828392867e-05,COMPLETE
