number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.2523364485981308,2025-06-18 23:48:13.233265,2025-06-19 00:46:34.269454,0 days 00:58:21.036189,1.3626634912175062e-05,COMPLETE
1,0.2562305295950156,2025-06-19 00:46:34.270061,2025-06-19 02:25:32.878295,0 days 01:38:58.608234,1.0316722671272577e-06,COMPLETE
2,0.2585669781931464,2025-06-19 02:25:32.879207,2025-06-19 03:23:18.010569,0 days 00:57:45.131362,2.4504183226136298e-05,COMPLETE
3,0.25934579439252337,2025-06-19 03:23:18.011590,2025-06-19 04:42:58.717327,0 days 01:19:40.705737,1.1904130173884904e-06,COMPLETE
4,0.20482866043613707,2025-06-19 04:42:58.718005,2025-06-19 05:43:07.373515,0 days 01:00:08.655510,9.32869364111009e-05,COMPLETE
5,0.26713395638629284,2025-06-19 05:43:07.374153,2025-06-19 06:43:35.968530,0 days 01:00:28.594377,2.628120026124684e-05,COMPLETE
6,0.26791277258566976,2025-06-19 06:43:35.969150,2025-06-19 07:46:19.341936,0 days 01:02:43.372786,7.49846648095373e-06,COMPLETE
7,0.2570093457943925,2025-06-19 07:46:19.342760,2025-06-19 08:51:25.447335,0 days 01:05:06.104575,1.4564102100364369e-05,COMPLETE
8,0.27102803738317754,2025-06-19 08:51:25.447946,2025-06-19 10:06:08.984179,0 days 01:14:43.536233,8.475340289963624e-06,COMPLETE
9,0.25,2025-06-19 10:06:08.984621,2025-06-19 11:32:56.100928,0 days 01:26:47.116307,8.795973520654469e-06,COMPLETE
