number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.45093457943925236,2025-06-19 12:46:47.216103,2025-06-19 14:05:05.801740,0 days 01:18:18.585637,3.0137599813892937e-05,COMPLETE
1,0.47897196261682246,2025-06-19 14:05:05.802623,2025-06-19 15:01:26.804095,0 days 00:56:21.001472,2.355330600960285e-05,COMPLETE
2,0.46261682242990654,2025-06-19 15:01:26.804781,2025-06-19 16:39:26.371694,0 days 01:37:59.566913,1.4298506331325878e-06,COMPLETE
3,0.4750778816199377,2025-06-19 16:39:26.372742,2025-06-19 17:50:25.779939,0 days 01:10:59.407197,4.3682618507904914e-06,COMPLETE
4,0.45404984423676015,2025-06-19 17:50:25.780568,2025-06-19 19:46:43.331646,0 days 01:56:17.551078,1.245442153665187e-06,COMPLETE
5,0.4766355140186916,2025-06-19 19:46:43.332271,2025-06-19 20:52:08.587628,0 days 01:05:25.255357,4.339701807188914e-06,COMPLETE
6,0.470404984423676,2025-06-19 20:52:08.588470,2025-06-19 21:50:22.645001,0 days 00:58:14.056531,2.0152596099074123e-05,COMPLETE
7,0.46261682242990654,2025-06-19 21:50:22.645690,2025-06-19 22:51:28.709237,0 days 01:01:06.063547,2.513557185873782e-05,COMPLETE
8,0.4719626168224299,2025-06-19 22:51:28.709839,2025-06-20 00:43:07.059677,0 days 01:51:38.349838,1.8279236116621768e-06,COMPLETE
9,0.4633956386292835,2025-06-20 00:43:07.060450,2025-06-20 02:00:41.569517,0 days 01:17:34.509067,5.192965336221863e-06,COMPLETE
