number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.2827102803738318,2025-06-19 12:46:23.326180,2025-06-19 14:00:04.777980,0 days 01:13:41.451800,1.78012779728746e-05,COMPLETE
1,0.279595015576324,2025-06-19 14:00:04.778627,2025-06-19 15:26:09.505035,0 days 01:26:04.726408,2.1992859245035273e-05,COMPLETE
2,0.27414330218068533,2025-06-19 15:26:09.506269,2025-06-19 16:59:33.515236,0 days 01:33:24.008967,1.105376387952031e-06,COMPLETE
3,0.20482866043613707,2025-06-19 16:59:33.516058,2025-06-19 18:00:45.262637,0 days 01:01:11.746579,3.065954758873886e-05,COMPLETE
4,0.28738317757009346,2025-06-19 18:00:45.263510,2025-06-19 19:28:28.706576,0 days 01:27:43.443066,3.0735332668581465e-06,COMPLETE
5,0.27258566978193144,2025-06-19 19:28:28.707371,2025-06-19 20:58:20.342666,0 days 01:29:51.635295,1.4611969629608658e-06,COMPLETE
6,0.29595015576323985,2025-06-19 20:58:20.343515,2025-06-19 21:56:48.079279,0 days 00:58:27.735764,2.176036250850969e-05,COMPLETE
7,0.2764797507788162,2025-06-19 21:56:48.080151,2025-06-19 23:09:56.404903,0 days 01:13:08.324752,4.393182469777777e-06,COMPLETE
8,0.2764797507788162,2025-06-19 23:09:56.405612,2025-06-20 00:05:46.572472,0 days 00:55:50.166860,4.092642166792943e-05,COMPLETE
9,0.26557632398753894,2025-06-20 00:05:46.573175,2025-06-20 01:06:30.204551,0 days 01:00:43.631376,5.584597574465455e-06,COMPLETE
