number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.19626168224299065,2025-06-17 23:19:47.130226,2025-06-17 23:58:40.890306,0 days 00:38:53.760080,1.1625590044817381e-05,COMPLETE
1,0.23286604361370716,2025-06-17 23:58:40.891177,2025-06-18 00:28:52.652662,0 days 00:30:11.761485,0.00019413722024117907,COMPLETE
2,0.23052959501557632,2025-06-18 00:28:52.653257,2025-06-18 00:54:19.474707,0 days 00:25:26.821450,0.00011643677507335853,COMPLETE
3,0.19626168224299065,2025-06-18 00:54:19.475160,2025-06-18 01:29:10.139492,0 days 00:34:50.664332,1.3364495508525624e-05,COMPLETE
4,0.20794392523364486,2025-06-18 01:29:10.140085,2025-06-18 01:51:49.608123,0 days 00:22:39.468038,3.4572624310527205e-05,COMPLETE
5,0.1939252336448598,2025-06-18 01:51:49.608662,2025-06-18 02:19:13.387397,0 days 00:27:23.778735,9.079737905285673e-06,COMPLETE
6,0.23130841121495327,2025-06-18 02:19:13.387949,2025-06-18 02:42:52.999616,0 days 00:23:39.611667,0.00017944908123992322,COMPLETE
7,0.19626168224299065,2025-06-18 02:42:53.000199,2025-06-18 03:17:47.285908,0 days 00:34:54.285709,1.3653332464944058e-05,COMPLETE
8,0.23130841121495327,2025-06-18 03:17:47.286602,2025-06-18 03:41:25.318754,0 days 00:23:38.032152,0.00018829469272913413,COMPLETE
9,0.21573208722741433,2025-06-18 03:41:25.319230,2025-06-18 04:05:46.388063,0 days 00:24:21.068833,4.669392001836618e-05,COMPLETE
