number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.20638629283489096,2025-06-17 23:20:39.809417,2025-06-17 23:46:32.467086,0 days 00:25:52.657669,0.0002699488300024865,COMPLETE
1,0.19937694704049844,2025-06-17 23:46:32.467662,2025-06-18 00:14:57.949494,0 days 00:28:25.481832,5.411060777329711e-05,COMPLETE
2,0.20249221183800623,2025-06-18 00:14:57.950344,2025-06-18 00:50:45.039814,0 days 00:35:47.089470,0.00038595780054549446,COMPLETE
3,0.20327102803738317,2025-06-18 00:50:45.040841,2025-06-18 01:15:32.171661,0 days 00:24:47.130820,4.581420348873548e-05,COMPLETE
4,0.1954828660436137,2025-06-18 01:15:32.172180,2025-06-18 01:34:51.599576,0 days 00:19:19.427396,0.00025731388765562214,COMPLETE
5,0.20249221183800623,2025-06-18 01:34:51.600080,2025-06-18 01:56:06.188969,0 days 00:21:14.588889,2.5091087940981548e-05,COMPLETE
6,0.20171339563862928,2025-06-18 01:56:06.189656,2025-06-18 02:25:35.408133,0 days 00:29:29.218477,7.504491112408609e-06,COMPLETE
7,0.19937694704049844,2025-06-18 02:25:35.408664,2025-06-18 02:53:17.086631,0 days 00:27:41.677967,4.191374018658574e-05,COMPLETE
8,0.20171339563862928,2025-06-18 02:53:17.087196,2025-06-18 03:13:36.100239,0 days 00:20:19.013043,0.0003100487897208864,COMPLETE
9,0.19937694704049844,2025-06-18 03:13:36.100818,2025-06-18 03:39:25.091791,0 days 00:25:48.990973,0.00018054797271472098,COMPLETE
