number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.21495327102803738,2025-06-19 13:22:55.818117,2025-06-19 14:00:44.980928,0 days 00:37:49.162811,6.746567933878799e-05,COMPLETE
1,0.20794392523364486,2025-06-19 14:00:44.981451,2025-06-19 14:31:45.523804,0 days 00:31:00.542353,4.742753303774897e-05,COMPLETE
2,0.2235202492211838,2025-06-19 14:31:45.524474,2025-06-19 15:04:39.804459,0 days 00:32:54.279985,0.00013168468701851732,COMPLETE
3,0.21651090342679127,2025-06-19 15:04:39.804910,2025-06-19 15:42:31.713498,0 days 00:37:51.908588,0.00011443440951235181,COMPLETE
4,0.22819314641744548,2025-06-19 15:42:31.714014,2025-06-19 16:25:06.290462,0 days 00:42:34.576448,8.394944980676095e-05,COMPLETE
5,0.205607476635514,2025-06-19 16:25:06.291097,2025-06-19 16:57:06.211706,0 days 00:31:59.920609,1.1689481309334184e-05,COMPLETE
6,0.205607476635514,2025-06-19 16:57:06.212444,2025-06-19 17:33:00.605008,0 days 00:35:54.392564,1.4722967599963609e-05,COMPLETE
7,0.205607476635514,2025-06-19 17:33:00.605574,2025-06-19 18:12:15.443955,0 days 00:39:14.838381,1.0254091740594502e-05,COMPLETE
8,0.2071651090342679,2025-06-19 18:12:15.444493,2025-06-19 18:51:32.574702,0 days 00:39:17.130209,1.0699280937162716e-05,COMPLETE
9,0.22429906542056074,2025-06-19 18:51:32.575417,2025-06-19 19:31:42.405576,0 days 00:40:09.830159,0.00021406635058809583,COMPLETE
