number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.21417445482866043,2025-06-19 13:22:32.113097,2025-06-19 13:45:43.593946,0 days 00:23:11.480849,0.00022053346498832207,COMPLETE
1,0.18691588785046728,2025-06-19 13:45:43.594386,2025-06-19 14:05:56.054985,0 days 00:20:12.460599,5.4019298320464315e-06,COMPLETE
2,0.23442367601246106,2025-06-19 14:05:56.055699,2025-06-19 14:34:40.823674,0 days 00:28:44.767975,0.00031100683764481566,COMPLETE
3,0.1970404984423676,2025-06-19 14:34:40.824058,2025-06-19 14:57:39.757201,0 days 00:22:58.933143,1.654459308293023e-05,COMPLETE
4,0.21573208722741433,2025-06-19 14:57:39.758106,2025-06-19 15:18:46.365435,0 days 00:21:06.607329,9.49666803648399e-05,COMPLETE
5,0.21884735202492211,2025-06-19 15:18:46.366034,2025-06-19 15:55:13.690912,0 days 00:36:27.324878,2.2905237450444163e-05,COMPLETE
6,0.22819314641744548,2025-06-19 15:55:13.691585,2025-06-19 16:17:15.346926,0 days 00:22:01.655341,0.0003710929674273166,COMPLETE
7,0.1985981308411215,2025-06-19 16:17:15.347485,2025-06-19 16:48:49.668361,0 days 00:31:34.320876,9.47369279546508e-06,COMPLETE
8,0.21806853582554517,2025-06-19 16:48:49.668865,2025-06-19 17:09:55.570781,0 days 00:21:05.901916,9.821246921145371e-05,COMPLETE
9,0.21417445482866043,2025-06-19 17:09:55.571344,2025-06-19 17:37:41.333725,0 days 00:27:45.762381,3.1311752950663e-05,COMPLETE
