number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.21806853582554517,2025-06-18 17:12:27.688878,2025-06-18 17:53:40.907542,0 days 00:41:13.218664,1.0375147123681854e-05,COMPLETE
1,0.21339563862928349,2025-06-18 17:53:40.909134,2025-06-18 18:23:32.851432,0 days 00:29:51.942298,4.8571216571079646e-05,COMPLETE
2,0.24922118380062305,2025-06-18 18:23:32.852712,2025-06-18 19:16:39.206207,0 days 00:53:06.353495,0.00042336834181726474,COMPLETE
3,0.21573208722741433,2025-06-18 19:16:39.207342,2025-06-18 19:46:29.538732,0 days 00:29:50.331390,2.198887164749078e-05,COMPLETE
4,0.2118380062305296,2025-06-18 19:46:29.539308,2025-06-18 20:11:22.394555,0 days 00:24:52.855247,7.8233361572248e-05,COMPLETE
5,0.2118380062305296,2025-06-18 20:11:22.395291,2025-06-18 20:33:20.767626,0 days 00:21:58.372335,6.885667412722334e-05,COMPLETE
6,0.2266355140186916,2025-06-18 20:33:20.768207,2025-06-18 21:12:12.331940,0 days 00:38:51.563733,0.0002182063248894771,COMPLETE
7,0.21495327102803738,2025-06-18 21:12:12.332799,2025-06-18 21:42:23.093115,0 days 00:30:10.760316,1.6146365192284644e-05,COMPLETE
8,0.1923676012461059,2025-06-18 21:42:23.093810,2025-06-18 22:03:09.965053,0 days 00:20:46.871243,7.92624922362702e-06,COMPLETE
9,0.21261682242990654,2025-06-18 22:03:09.965595,2025-06-18 22:31:31.729494,0 days 00:28:21.763899,4.2522712916257736e-05,COMPLETE
