number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.20249221183800623,2025-06-18 17:12:10.133589,2025-06-18 17:32:39.728431,0 days 00:20:29.594842,7.0029413253417416e-06,COMPLETE
1,0.20327102803738317,2025-06-18 17:32:39.729001,2025-06-18 18:04:37.116510,0 days 00:31:57.387509,7.611661349129744e-06,COMPLETE
2,0.22429906542056074,2025-06-18 18:04:37.117226,2025-06-18 18:35:44.173346,0 days 00:31:07.056120,2.2118155213477224e-05,COMPLETE
3,0.2250778816199377,2025-06-18 18:35:44.174172,2025-06-18 18:58:05.457730,0 days 00:22:21.283558,3.140976575197528e-05,COMPLETE
4,0.22585669781931464,2025-06-18 18:58:05.458266,2025-06-18 19:21:30.015792,0 days 00:23:24.557526,3.468388735917844e-05,COMPLETE
5,0.2484423676012461,2025-06-18 19:21:30.016555,2025-06-18 20:05:13.422133,0 days 00:43:43.405578,0.0002645830357783113,COMPLETE
6,0.22429906542056074,2025-06-18 20:05:13.422659,2025-06-18 20:41:02.210262,0 days 00:35:48.787603,1.6185100901155617e-05,COMPLETE
7,0.22429906542056074,2025-06-18 20:41:02.211043,2025-06-18 21:02:11.430676,0 days 00:21:09.219633,5.122789550849988e-05,COMPLETE
8,0.23442367601246106,2025-06-18 21:02:11.431388,2025-06-18 21:22:17.873070,0 days 00:20:06.441682,8.395650918801926e-05,COMPLETE
9,0.22585669781931464,2025-06-18 21:22:17.873656,2025-06-18 21:43:22.187514,0 days 00:21:04.313858,5.4389818248727635e-05,COMPLETE
