number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.20327102803738317,2025-06-17 21:08:15.117884,2025-06-17 21:18:28.291225,0 days 00:10:13.173341,0.0005290783797723509,COMPLETE
1,0.20171339563862928,2025-06-17 21:18:28.292281,2025-06-17 21:24:50.199504,0 days 00:06:21.907223,0.0008853047334625709,COMPLETE
2,0.2087227414330218,2025-06-17 21:24:50.200431,2025-06-17 21:34:03.979228,0 days 00:09:13.778797,0.0009598167854863297,COMPLETE
3,0.20794392523364486,2025-06-17 21:34:03.979991,2025-06-17 21:40:58.690324,0 days 00:06:54.710333,0.00023797007699848566,COMPLETE
4,0.20015576323987538,2025-06-17 21:40:58.691393,2025-06-17 21:47:03.436311,0 days 00:06:04.744918,0.0007673657763208172,COMPLETE
5,0.20327102803738317,2025-06-17 21:47:03.437114,2025-06-17 21:55:30.574906,0 days 00:08:27.137792,0.0004667130975785343,COMPLETE
6,0.20638629283489096,2025-06-17 21:55:30.575697,2025-06-17 22:03:02.875767,0 days 00:07:32.300070,0.00011546642728552643,COMPLETE
7,0.20093457943925233,2025-06-17 22:03:02.877308,2025-06-17 22:09:25.796262,0 days 00:06:22.918954,0.0008610897916135927,COMPLETE
8,0.20638629283489096,2025-06-17 22:09:25.797212,2025-06-17 22:16:02.338089,0 days 00:06:36.540877,0.00032778100534880774,COMPLETE
9,0.20327102803738317,2025-06-17 22:16:02.339218,2025-06-17 22:26:01.784011,0 days 00:09:59.444793,0.000549048335524278,COMPLETE
