number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.21573208722741433,2025-06-17 21:08:13.379981,2025-06-17 21:14:54.037051,0 days 00:06:40.657070,0.0008606550285664711,COMPLETE
1,0.2102803738317757,2025-06-17 21:14:54.037982,2025-06-17 21:21:47.767833,0 days 00:06:53.729851,0.0004056117762037753,COMPLETE
2,0.23442367601246106,2025-06-17 21:21:47.768844,2025-06-17 21:31:10.721982,0 days 00:09:22.953138,0.0006740154999814094,COMPLETE
3,0.21495327102803738,2025-06-17 21:31:10.723158,2025-06-17 21:46:09.654913,0 days 00:14:58.931755,0.00012320955947022573,COMPLETE
4,0.21261682242990654,2025-06-17 21:46:09.655962,2025-06-17 21:52:38.371104,0 days 00:06:28.715142,0.0004563019490995454,COMPLETE
5,0.21339563862928349,2025-06-17 21:52:38.371908,2025-06-17 21:59:59.020847,0 days 00:07:20.648939,0.00018699485143573307,COMPLETE
6,0.21105919003115264,2025-06-17 21:59:59.022829,2025-06-17 22:07:20.142872,0 days 00:07:21.120043,0.00027007229182091926,COMPLETE
7,0.21105919003115264,2025-06-17 22:07:20.144193,2025-06-17 22:14:46.445833,0 days 00:07:26.301640,0.00025197742368326134,COMPLETE
8,0.2102803738317757,2025-06-17 22:14:46.446757,2025-06-17 22:21:16.767962,0 days 00:06:30.321205,0.0005529318781359562,COMPLETE
9,0.21105919003115264,2025-06-17 22:21:16.769048,2025-06-17 22:28:23.984860,0 days 00:07:07.215812,0.0004738801810992347,COMPLETE
