number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.20404984423676012,2025-06-18 15:09:56.017767,2025-06-18 15:17:09.558512,0 days 00:07:13.540745,0.0001932051610251389,COMPLETE
1,0.2071651090342679,2025-06-18 15:17:09.559354,2025-06-18 15:24:54.348131,0 days 00:07:44.788777,0.0002640027659550192,COMPLETE
2,0.20404984423676012,2025-06-18 15:24:54.349099,2025-06-18 15:32:07.427622,0 days 00:07:13.078523,0.00019580574484117226,COMPLETE
3,0.2071651090342679,2025-06-18 15:32:07.428542,2025-06-18 15:40:31.110638,0 days 00:08:23.682096,0.0007376566761402739,COMPLETE
4,0.20638629283489096,2025-06-18 15:40:31.111611,2025-06-18 15:49:12.861299,0 days 00:08:41.749688,0.00012282215749379833,COMPLETE
5,0.20404984423676012,2025-06-18 15:49:12.862239,2025-06-18 15:56:24.784532,0 days 00:07:11.922293,0.00019195123413995465,COMPLETE
6,0.20482866043613707,2025-06-18 15:56:24.785347,2025-06-18 16:06:40.515253,0 days 00:10:15.729906,0.0005558735978364231,COMPLETE
7,0.20327102803738317,2025-06-18 16:06:40.516771,2025-06-18 16:13:57.050844,0 days 00:07:16.534073,0.000504103264878416,COMPLETE
8,0.20404984423676012,2025-06-18 16:13:57.051954,2025-06-18 16:21:13.792861,0 days 00:07:16.740907,0.0002090505508636781,COMPLETE
9,0.20638629283489096,2025-06-18 16:21:13.793795,2025-06-18 16:31:28.298375,0 days 00:10:14.504580,0.00043985501933992296,COMPLETE
