number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.24610591900311526,2025-06-18 15:12:27.420880,2025-06-18 15:23:20.251347,0 days 00:10:52.830467,0.0007812754506235999,COMPLETE
1,0.23753894080996885,2025-06-18 15:23:20.252183,2025-06-18 15:34:08.095586,0 days 00:10:47.843403,0.0006055853906939063,COMPLETE
2,0.20950155763239875,2025-06-18 15:34:08.096541,2025-06-18 15:42:34.547010,0 days 00:08:26.450469,0.0002210146217936566,COMPLETE
3,0.23753894080996885,2025-06-18 15:42:34.547980,2025-06-18 15:53:23.520271,0 days 00:10:48.972291,0.0006441747634447252,COMPLETE
4,0.20794392523364486,2025-06-18 15:53:23.521313,2025-06-18 16:01:52.289318,0 days 00:08:28.768005,0.00013465112342907662,COMPLETE
5,0.20950155763239875,2025-06-18 16:01:52.290340,2025-06-18 16:10:21.663496,0 days 00:08:29.373156,0.00020938615201373582,COMPLETE
6,0.2367601246105919,2025-06-18 16:10:21.664652,2025-06-18 16:21:13.768342,0 days 00:10:52.103690,0.0005740922383477695,COMPLETE
7,0.21105919003115264,2025-06-18 16:21:13.769246,2025-06-18 16:32:24.560080,0 days 00:11:10.790834,0.00028446303748532777,COMPLETE
8,0.2071651090342679,2025-06-18 16:32:24.560848,2025-06-18 16:40:56.507928,0 days 00:08:31.947080,0.00012531558188733454,COMPLETE
9,0.22897196261682243,2025-06-18 16:40:56.508972,2025-06-18 16:50:59.830062,0 days 00:10:03.321090,0.0008643293990602256,COMPLETE
