number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.48598130841121495,2025-06-17 19:05:51.838044,2025-06-17 19:36:38.349852,0 days 00:30:46.511808,3.228754921263743e-06,COMPLETE
1,0.48598130841121495,2025-06-17 19:36:38.351142,2025-06-17 20:07:17.668760,0 days 00:30:39.317618,3.573706629234276e-06,COMPLETE
2,0.48130841121495327,2025-06-17 20:07:17.669929,2025-06-17 20:38:41.092060,0 days 00:31:23.422131,2.933576620755655e-06,COMPLETE
3,0.4766355140186916,2025-06-17 20:38:41.093107,2025-06-17 21:00:37.563218,0 days 00:21:56.470111,7.808039100115902e-06,COMPLETE
4,0.470404984423676,2025-06-17 21:00:37.564381,2025-06-17 21:21:07.355214,0 days 00:20:29.790833,2.67667115767274e-05,COMPLETE
5,0.4735202492211838,2025-06-17 21:21:07.356386,2025-06-17 21:40:56.514798,0 days 00:19:49.158412,3.060582279196503e-05,COMPLETE
6,0.46105919003115264,2025-06-17 21:40:56.515896,2025-06-17 22:00:01.569497,0 days 00:19:05.053601,4.649295078902572e-05,COMPLETE
7,0.4680685358255452,2025-06-17 22:00:01.570581,2025-06-17 22:19:04.949054,0 days 00:19:03.378473,2.9815251335061472e-05,COMPLETE
8,0.48286604361370716,2025-06-17 22:19:04.950006,2025-06-17 22:48:17.579578,0 days 00:29:12.629572,4.442133359992013e-06,COMPLETE
9,0.4766355140186916,2025-06-17 22:48:17.580962,2025-06-17 23:08:45.251030,0 days 00:20:27.670068,2.52789600362543e-05,COMPLETE
