number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.29049844236760125,2025-06-17 19:06:22.888555,2025-06-17 19:30:38.710506,0 days 00:24:15.821951,4.517576739368157e-06,COMPLETE
1,0.278816199376947,2025-06-17 19:30:38.711906,2025-06-17 19:48:26.736075,0 days 00:17:48.024169,1.2011722440964931e-05,COMPLETE
2,0.2850467289719626,2025-06-17 19:48:26.737205,2025-06-17 20:11:11.249607,0 days 00:22:44.512402,4.673202864191555e-06,COMPLETE
3,0.27414330218068533,2025-06-17 20:11:11.250682,2025-06-17 20:31:47.270201,0 days 00:20:36.019519,9.66439958945562e-06,COMPLETE
4,0.28582554517133957,2025-06-17 20:31:47.271051,2025-06-17 20:49:32.303951,0 days 00:17:45.032900,3.385253909494974e-05,COMPLETE
5,0.27258566978193144,2025-06-17 20:49:32.304872,2025-06-17 21:13:39.196173,0 days 00:24:06.891301,2.2472742610429414e-06,COMPLETE
6,0.2811526479750779,2025-06-17 21:13:39.197054,2025-06-17 21:30:01.665482,0 days 00:16:22.468428,3.706243986247946e-05,COMPLETE
7,0.2733644859813084,2025-06-17 21:30:01.666766,2025-06-17 21:47:08.061877,0 days 00:17:06.395111,3.186688079913052e-05,COMPLETE
8,0.2780373831775701,2025-06-17 21:47:08.062838,2025-06-17 22:17:45.341300,0 days 00:30:37.278462,3.196597721395912e-05,COMPLETE
9,0.2803738317757009,2025-06-17 22:17:45.342681,2025-06-17 22:38:25.348269,0 days 00:20:40.005588,7.535846621125082e-06,COMPLETE
