number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.4602803738317757,2025-06-18 16:29:18.961416,2025-06-18 16:48:57.864069,0 days 00:19:38.902653,0.00011526423868190519,COMPLETE
1,0.4742990654205608,2025-06-18 16:48:57.865001,2025-06-18 17:12:46.411728,0 days 00:23:48.546727,2.1807946858441676e-05,COMPLETE
2,0.47897196261682246,2025-06-18 17:12:46.412704,2025-06-18 17:33:55.371638,0 days 00:21:08.958934,1.534135693984497e-05,COMPLETE
3,0.48052959501557635,2025-06-18 17:33:55.374968,2025-06-18 17:57:00.916752,0 days 00:23:05.541784,8.747826099114661e-06,COMPLETE
4,0.48208722741433024,2025-06-18 17:57:00.917846,2025-06-18 18:17:14.117280,0 days 00:20:13.199434,1.289801284525761e-05,COMPLETE
5,0.48909657320872274,2025-06-18 18:17:14.118629,2025-06-18 18:52:33.415589,0 days 00:35:19.296960,6.642085452334247e-06,COMPLETE
6,0.48208722741433024,2025-06-18 18:52:33.416949,2025-06-18 19:20:42.744561,0 days 00:28:09.327612,1.5015602732822577e-05,COMPLETE
7,0.47897196261682246,2025-06-18 19:20:42.745540,2025-06-18 19:39:27.753828,0 days 00:18:45.008288,1.6042993948567718e-05,COMPLETE
8,0.470404984423676,2025-06-18 19:39:27.754832,2025-06-18 19:58:51.199232,0 days 00:19:23.444400,0.00011479137851980946,COMPLETE
9,0.4781931464174455,2025-06-18 19:58:51.200309,2025-06-18 20:21:54.761711,0 days 00:23:03.561402,3.817573699630991e-05,COMPLETE
