number,value,datetime_start,datetime_complete,duration,params_learning_rate,state
0,0.2811526479750779,2025-06-18 15:13:31.458770,2025-06-18 15:34:10.619881,0 days 00:20:39.161111,6.515432572865459e-06,COMPLETE
1,0.2866043613707165,2025-06-18 15:34:10.620481,2025-06-18 16:00:56.336318,0 days 00:26:45.715837,2.6187733516707716e-05,COMPLETE
2,0.27258566978193144,2025-06-18 16:00:56.337243,2025-06-18 16:19:19.106060,0 days 00:18:22.768817,6.020265003906918e-05,COMPLETE
3,0.2842679127725857,2025-06-18 16:19:19.107087,2025-06-18 16:38:25.710840,0 days 00:19:06.603753,2.8556962183877436e-05,COMPLETE
4,0.2772585669781931,2025-06-18 16:38:25.711740,2025-06-18 16:56:50.968592,0 days 00:18:25.256852,1.1910829893508077e-05,COMPLETE
5,0.1970404984423676,2025-06-18 16:56:50.969653,2025-06-18 17:13:02.970550,0 days 00:16:12.000897,0.00012033503010850424,COMPLETE
6,0.2866043613707165,2025-06-18 17:13:02.971447,2025-06-18 17:37:45.409304,0 days 00:24:42.437857,2.3366808725012152e-05,COMPLETE
7,0.2780373831775701,2025-06-18 17:37:45.410345,2025-06-18 18:03:10.552883,0 days 00:25:25.142538,1.2776635904442648e-05,COMPLETE
8,0.29049844236760125,2025-06-18 18:03:10.553885,2025-06-18 18:26:35.018012,0 days 00:23:24.464127,2.085131707095698e-05,COMPLETE
9,0.2827102803738318,2025-06-18 18:26:35.019402,2025-06-18 18:48:36.647298,0 days 00:22:01.627896,6.248194233524703e-06,COMPLETE
